Sample alias,EPI_ISL_ID,EPI_SET_ID,Lineage group,Sample collection date
hCoV-19/Denmark/DCGC-115158/2021,EPI_ISL_2668606,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-115160/2021,EPI_ISL_2668607,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115164/2021,EPI_ISL_2668610,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115166/2021,EPI_ISL_2668611,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115172/2021,EPI_ISL_2668616,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115173/2021,EPI_ISL_2668617,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115175/2021,EPI_ISL_3074763,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115178/2021,EPI_ISL_2668620,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115179/2021,EPI_ISL_2668621,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115188/2021,EPI_ISL_3074765,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115200/2021,EPI_ISL_2668636,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115202/2021,EPI_ISL_2668638,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115212/2021,EPI_ISL_2668647,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115228/2021,EPI_ISL_2668660,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115233/2021,EPI_ISL_2668665,EPI_SET_230103mu,Alpha,2021-06-14
hCoV-19/Denmark/DCGC-115247/2021,EPI_ISL_3074770,EPI_SET_230103mu,Alpha,2021-06-14
hCoV-19/Denmark/DCGC-115250/2021,EPI_ISL_2668677,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115251/2021,EPI_ISL_2668678,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115253/2021,EPI_ISL_2668679,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115256/2021,EPI_ISL_3074771,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115259/2021,EPI_ISL_2668683,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115271/2021,EPI_ISL_3074772,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115287/2021,EPI_ISL_3074776,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115291/2021,EPI_ISL_2668703,EPI_SET_230103zt,Delta,2021-06-07
hCoV-19/Denmark/DCGC-115296/2021,EPI_ISL_3074777,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115298/2021,EPI_ISL_2668707,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115305/2021,EPI_ISL_2668711,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115316/2021,EPI_ISL_2668719,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115318/2021,EPI_ISL_2668721,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115319/2021,EPI_ISL_3074782,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115320/2021,EPI_ISL_2668722,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115326/2021,EPI_ISL_3074783,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115327/2021,EPI_ISL_3074784,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115329/2021,EPI_ISL_2668728,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115332/2021,EPI_ISL_2668730,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115334/2021,EPI_ISL_2668732,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115335/2021,EPI_ISL_2668733,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115347/2021,EPI_ISL_2668743,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115362/2021,EPI_ISL_2668750,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115371/2021,EPI_ISL_2668758,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115387/2021,EPI_ISL_3074789,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115390/2021,EPI_ISL_2668772,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115396/2021,EPI_ISL_2668777,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115398/2021,EPI_ISL_2668778,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115401/2021,EPI_ISL_2668780,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115405/2021,EPI_ISL_3074791,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115415/2021,EPI_ISL_2668787,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115417/2021,EPI_ISL_2668788,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115419/2021,EPI_ISL_2668790,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115424/2021,EPI_ISL_2668792,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115427/2021,EPI_ISL_2668794,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115432/2021,EPI_ISL_2668798,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115444/2021,EPI_ISL_2668805,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115447/2021,EPI_ISL_2668808,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115448/2021,EPI_ISL_3074799,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115449/2021,EPI_ISL_2668809,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115454/2021,EPI_ISL_2668814,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115458/2021,EPI_ISL_3074800,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115459/2021,EPI_ISL_2668818,EPI_SET_230103mu,Alpha,2021-06-14
hCoV-19/Denmark/DCGC-115461/2021,EPI_ISL_2668820,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115464/2021,EPI_ISL_2668823,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115469/2021,EPI_ISL_2668828,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115479/2021,EPI_ISL_3074801,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115481/2021,EPI_ISL_2668836,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115485/2021,EPI_ISL_2668839,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115487/2021,EPI_ISL_2668841,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115488/2021,EPI_ISL_3074803,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115490/2021,EPI_ISL_2668843,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115496/2021,EPI_ISL_2668847,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115499/2021,EPI_ISL_2668849,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115505/2021,EPI_ISL_2668853,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115507/2021,EPI_ISL_2668854,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115514/2021,EPI_ISL_3074805,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115520/2021,EPI_ISL_2668864,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115522/2021,EPI_ISL_2668866,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115525/2021,EPI_ISL_2668868,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115530/2021,EPI_ISL_2668873,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115536/2021,EPI_ISL_2668877,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115547/2021,EPI_ISL_2668883,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115551/2021,EPI_ISL_2668886,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115559/2021,EPI_ISL_2668894,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115566/2021,EPI_ISL_3074808,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115567/2021,EPI_ISL_2668898,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115576/2021,EPI_ISL_2668901,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115580/2021,EPI_ISL_2668904,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115586/2021,EPI_ISL_2668908,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115592/2021,EPI_ISL_2668913,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115596/2021,EPI_ISL_2668917,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115607/2021,EPI_ISL_3074816,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115610/2021,EPI_ISL_2668927,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115617/2021,EPI_ISL_2668931,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115620/2021,EPI_ISL_3074819,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115625/2021,EPI_ISL_3074820,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115626/2021,EPI_ISL_3074821,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115635/2021,EPI_ISL_3074825,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115639/2021,EPI_ISL_2668943,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115641/2021,EPI_ISL_3074828,EPI_SET_230103mu,Alpha,2021-06-14
hCoV-19/Denmark/DCGC-115642/2021,EPI_ISL_2668944,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115648/2021,EPI_ISL_2668946,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115667/2021,EPI_ISL_2668959,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115668/2021,EPI_ISL_3074833,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115669/2021,EPI_ISL_2668960,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115676/2021,EPI_ISL_3074834,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115685/2021,EPI_ISL_2668971,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115689/2021,EPI_ISL_2668975,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115698/2021,EPI_ISL_2668981,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115702/2021,EPI_ISL_2668984,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115721/2021,EPI_ISL_3074838,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115730/2021,EPI_ISL_2669000,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115740/2021,EPI_ISL_2669008,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115741/2021,EPI_ISL_2669009,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115745/2021,EPI_ISL_2669013,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115753/2021,EPI_ISL_2669018,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115754/2021,EPI_ISL_2669019,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115763/2021,EPI_ISL_3074844,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115765/2021,EPI_ISL_2669025,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115775/2021,EPI_ISL_2669030,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115794/2021,EPI_ISL_2669044,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115815/2021,EPI_ISL_2669060,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115821/2021,EPI_ISL_2669065,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115826/2021,EPI_ISL_3074849,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115838/2021,EPI_ISL_2669077,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115844/2021,EPI_ISL_2669080,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115845/2021,EPI_ISL_2669081,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115853/2021,EPI_ISL_3074855,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115866/2021,EPI_ISL_2669094,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115867/2021,EPI_ISL_3074860,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115869/2021,EPI_ISL_2669095,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115876/2021,EPI_ISL_3074864,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115877/2021,EPI_ISL_2669098,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115878/2021,EPI_ISL_2669099,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115890/2021,EPI_ISL_2669109,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115891/2021,EPI_ISL_2669110,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115895/2021,EPI_ISL_3074865,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115898/2021,EPI_ISL_2669116,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115906/2021,EPI_ISL_2669121,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115907/2021,EPI_ISL_2669122,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115911/2021,EPI_ISL_2669125,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115934/2021,EPI_ISL_2669144,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115935/2021,EPI_ISL_2669145,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115938/2021,EPI_ISL_2669147,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115940/2021,EPI_ISL_3074869,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115948/2021,EPI_ISL_2669155,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115952/2021,EPI_ISL_2669159,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115954/2021,EPI_ISL_2669161,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115965/2021,EPI_ISL_2669167,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-115972/2021,EPI_ISL_2669170,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115980/2021,EPI_ISL_2669176,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115982/2021,EPI_ISL_3074874,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115984/2021,EPI_ISL_2669178,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115986/2021,EPI_ISL_2669179,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115990/2021,EPI_ISL_2669183,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-115996/2021,EPI_ISL_3074875,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116007/2021,EPI_ISL_2669197,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116013/2021,EPI_ISL_3074878,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116025/2021,EPI_ISL_2669207,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116031/2021,EPI_ISL_3074882,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116040/2021,EPI_ISL_2669216,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116042/2021,EPI_ISL_2669217,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116044/2021,EPI_ISL_2669219,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116050/2021,EPI_ISL_3074886,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116052/2021,EPI_ISL_2669224,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116054/2021,EPI_ISL_2669226,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116056/2021,EPI_ISL_2669227,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116075/2021,EPI_ISL_2669243,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116091/2021,EPI_ISL_3074890,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116099/2021,EPI_ISL_2669263,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116105/2021,EPI_ISL_2669266,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116109/2021,EPI_ISL_2669270,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116123/2021,EPI_ISL_2669283,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116126/2021,EPI_ISL_2669285,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116127/2021,EPI_ISL_2669286,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116151/2021,EPI_ISL_2669307,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116154/2021,EPI_ISL_2669310,EPI_SET_230103zt,Delta,2021-06-14
hCoV-19/Denmark/DCGC-116157/2021,EPI_ISL_3074896,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116166/2021,EPI_ISL_2669318,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116176/2021,EPI_ISL_2669325,EPI_SET_230103mu,Alpha,2021-06-14
hCoV-19/Denmark/DCGC-116179/2021,EPI_ISL_2669327,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116183/2021,EPI_ISL_2669331,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116190/2021,EPI_ISL_2669335,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116192/2021,EPI_ISL_3074901,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116204/2021,EPI_ISL_2669342,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116215/2021,EPI_ISL_2669351,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116219/2021,EPI_ISL_2669353,EPI_SET_230103mu,Alpha,2021-06-14
hCoV-19/Denmark/DCGC-116220/2021,EPI_ISL_2669354,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116226/2021,EPI_ISL_2669357,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116257/2021,EPI_ISL_2669379,EPI_SET_230103mu,Alpha,2021-06-14
hCoV-19/Denmark/DCGC-116262/2021,EPI_ISL_2669382,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116263/2021,EPI_ISL_2669383,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116264/2021,EPI_ISL_2669384,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116265/2021,EPI_ISL_2669385,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116267/2021,EPI_ISL_2669386,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116274/2021,EPI_ISL_2669391,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116286/2021,EPI_ISL_2669403,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116292/2021,EPI_ISL_3074911,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116294/2021,EPI_ISL_3074912,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116295/2021,EPI_ISL_2669409,EPI_SET_230103zt,Delta,2021-06-14
hCoV-19/Denmark/DCGC-116301/2021,EPI_ISL_2669413,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116309/2021,EPI_ISL_2669418,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116310/2021,EPI_ISL_3074914,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116317/2021,EPI_ISL_2669424,EPI_SET_230103mu,Alpha,2021-05-24
hCoV-19/Denmark/DCGC-116329/2021,EPI_ISL_2669434,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116330/2021,EPI_ISL_2669435,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116335/2021,EPI_ISL_3074916,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116345/2021,EPI_ISL_2669446,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116346/2021,EPI_ISL_3074919,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116347/2021,EPI_ISL_2669447,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116355/2021,EPI_ISL_3074921,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116357/2021,EPI_ISL_2669453,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116358/2021,EPI_ISL_2669454,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116368/2021,EPI_ISL_3074923,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116369/2021,EPI_ISL_3074924,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116376/2021,EPI_ISL_2669464,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116382/2021,EPI_ISL_2669466,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116395/2021,EPI_ISL_3074929,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116399/2021,EPI_ISL_2669477,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116407/2021,EPI_ISL_2669484,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116408/2021,EPI_ISL_2669485,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116415/2021,EPI_ISL_2669490,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116419/2021,EPI_ISL_2669494,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116422/2021,EPI_ISL_2669497,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116429/2021,EPI_ISL_2669500,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116430/2021,EPI_ISL_2669501,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116434/2021,EPI_ISL_2669504,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116438/2021,EPI_ISL_2669507,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116441/2021,EPI_ISL_2669509,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-116445/2021,EPI_ISL_3074932,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116460/2021,EPI_ISL_2669522,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116466/2021,EPI_ISL_2669526,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116467/2021,EPI_ISL_2669527,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116468/2021,EPI_ISL_3074934,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116471/2021,EPI_ISL_3074935,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116472/2021,EPI_ISL_2669530,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116473/2021,EPI_ISL_2669531,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116474/2021,EPI_ISL_2669532,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-116478/2021,EPI_ISL_3074937,EPI_SET_230103mu,Alpha,2021-06-07
